engine,pair,direction,timestamp,score,resultR,exit_reason,SL,TP,MFE_R,MAE_R,session,regime,setup_type,failure_reason,top25_cutoff,current_threshold
Engine B,BTC/USDT,LONG,2025-06-09,7.0,-1.07,SL,107227.529607,111470.340786,,,,ranging,naked,SL,6.0,
Engine B,BTC/USDT,LONG,2025-07-18,7.8,-1.05,SL,117439.655916,124469.388167,,,,ranging,naked,SL,6.0,
Engine B,BTC/USDT,LONG,2025-07-25,6.0,-0.62,TIMEOUT,114058.436218,120626.827564,,,,ranging,naked,TIMEOUT,6.0,
Engine B,BTC/USDT,LONG,2025-08-11,7.8,-1.06,SL,118476.067377,123871.665247,,,,trending,naked,SL,6.0,
Engine B,BTC/USDT,LONG,2025-10-06,6.0,-1.04,SL,120890.942705,129985.914591,,,,ranging,naked,SL,6.0,
Engine B,BTC/USDT,LONG,2025-10-08,6.0,-1.06,SL,120877.5995,126985.901,,,,ranging,naked,SL,6.0,
Engine B,BTC/USDT,LONG,2025-11-26,6.0,-1.04,SL,87389.141759,94649.316482,,,,ranging,naked,SL,6.0,
Engine B,BTC/USDT,LONG,2025-12-10,6.0,-1.02,SL,88028.52284,101310.630857,,,,ranging,naked,SL,6.0,
Engine B,BTC/USDT,LONG,2026-01-06,6.0,-1.07,SL,92112.414169,96052.271663,,,,trending,naked,SL,6.0,
Engine B,BTC/USDT,LONG,2026-01-14,6.75,-0.06,BE,93387.899914,98774.272742,,,,trending,naked,BE,6.0,
Engine B,BTC/USDT,LONG,2026-03-06,6.0,-1.03,SL,65892.031611,72432.836779,,,,ranging,naked,SL,6.0,
Engine B,BTC/USDT,LONG,2026-03-18,6.0,-1.04,SL,69357.114993,74647.870015,,,,ranging,naked,SL,6.0,
Engine B,BTC/USDT,LONG,2026-03-20,6.75,-1.06,SL,68983.342733,72159.441963,,,,ranging,naked,SL,6.0,
Engine B,BTC/USDT,LONG,2026-04-18,6.0,-1.05,SL,75485.003247,80412.793506,,,,trending,naked,SL,6.0,
Engine B,BTC/USDT,LONG,2026-04-22,8.0,-0.39,TIMEOUT,73707.433675,87632.058829,,,,ranging,naked,TIMEOUT,6.0,
Engine B,GBP/USD,SHORT,2025-01-13,6.0,-1.07,SL,1.223843,1.201847,,,,trending,naked,SL,5.75,
Engine B,GBP/USD,SHORT,2025-01-14,6.0,-1.07,SL,1.228261,1.206568,,,,trending,naked,SL,5.75,
Engine B,GBP/USD,SHORT,2025-01-21,6.0,-1.09,SL,1.233078,1.217874,,,,ranging,naked,SL,5.75,
Engine B,GBP/USD,SHORT,2025-02-04,6.0,-1.06,SL,1.250432,1.226636,,,,ranging,naked,SL,5.75,
Engine B,GBP/USD,SHORT,2025-02-13,6.0,-1.08,SL,1.254749,1.235341,,,,ranging,naked,SL,5.75,
Engine B,GBP/USD,SHORT,2025-06-18,5.75,-1.09,SL,1.351906,1.333415,,,,ranging,naked,SL,5.75,
Engine B,GBP/USD,SHORT,2025-07-17,6.75,-1.1,SL,1.344688,1.33102,,,,ranging,naked,SL,5.75,
Engine B,GBP/USD,SHORT,2025-07-30,6.0,-1.09,SL,1.329672,1.312207,,,,trending,naked,SL,5.75,
Engine B,GBP/USD,SHORT,2025-08-04,7.0,-1.07,SL,1.33501,1.313351,,,,ranging,naked,SL,5.75,
Engine B,GBP/USD,SHORT,2025-10-24,6.0,-1.12,SL,1.336208,1.323855,,,,trending,naked,SL,5.75,
Engine B,GBP/USD,SHORT,2025-11-07,6.75,-1.11,SL,1.314831,1.301179,,,,ranging,naked,SL,5.75,
